graph,order,size,time,iterations,error,technique,tolerance
"min-4SCC","21","35","0.184","500","4.2282e-7","pagerankL1Norm","5e-9"
"min-4SCC","21","35","0.025","57","4.4517e-7","pagerankL2Norm","5e-9"
"min-4SCC","21","35","0.199","500","4.2282e-7","pagerankLiNorm","5e-9"
"min-4SCC","21","35","0.081","500","4.2282e-7","pagerankL1Norm","1e-9"
"min-4SCC","21","35","0.01","57","4.4517e-7","pagerankL2Norm","1e-9"
"min-4SCC","21","35","0.079","500","4.2282e-7","pagerankLiNorm","1e-9"
"min-4SCC","21","35","0.07","500","4.2282e-7","pagerankL1Norm","5e-10"
"min-4SCC","21","35","0.009","57","4.4517e-7","pagerankL2Norm","5e-10"
"min-4SCC","21","35","0.079","500","4.2282e-7","pagerankLiNorm","5e-10"
"min-4SCC","21","35","0.07","500","4.2282e-7","pagerankL1Norm","1e-10"
"min-4SCC","21","35","0.009","57","4.4517e-7","pagerankL2Norm","1e-10"
"min-4SCC","21","35","0.08","500","4.2282e-7","pagerankLiNorm","1e-10"
"min-NvgraphEx","6","10","0.003","24","0","pagerank","0"
"min-NvgraphEx","6","10","0","1","0.39829","pagerankL1Norm","1"
"min-NvgraphEx","6","10","0","1","0.39829","pagerankL2Norm","1"
"min-NvgraphEx","6","10","0","1","0.39829","pagerankLiNorm","1"
"min-NvgraphEx","6","10","0","1","0.39829","pagerankL1Norm","0.5"
"min-NvgraphEx","6","10","0","1","0.39829","pagerankL2Norm","0.5"
"min-NvgraphEx","6","10","0","1","0.39829","pagerankLiNorm","0.5"
"min-NvgraphEx","6","10","0","4","0.074817","pagerankL1Norm","0.1"
"min-NvgraphEx","6","10","0","4","0.074817","pagerankL2Norm","0.1"
"min-NvgraphEx","6","10","0","1","0.39829","pagerankLiNorm","0.1"
"min-NvgraphEx","6","10","0","5","0.043243","pagerankL1Norm","0.05"
"min-NvgraphEx","6","10","0.001","8","0.0082593","pagerankL2Norm","0.05"
"min-NvgraphEx","6","10","0","2","0.22436","pagerankLiNorm","0.05"
"min-NvgraphEx","6","10","0.001","8","0.0082593","pagerankL1Norm","0.01"
"min-NvgraphEx","6","10","0.002","13","0.00052355","pagerankL2Norm","0.01"
"min-NvgraphEx","6","10","0","6","0.024869","pagerankLiNorm","0.01"
"min-NvgraphEx","6","10","0.001","9","0.0047604","pagerankL1Norm","0.005"
"min-NvgraphEx","6","10","0.002","16","0.000099141","pagerankL2Norm","0.005"
"min-NvgraphEx","6","10","0","6","0.024869","pagerankLiNorm","0.005"
"min-NvgraphEx","6","10","0.001","12","0.00090947","pagerankL1Norm","0.001"
"min-NvgraphEx","6","10","0.003","22","0.000002481","pagerankL2Norm","0.001"
"min-NvgraphEx","6","10","0.001","10","0.0027417","pagerankLiNorm","0.001"
"min-NvgraphEx","6","10","0.001","13","0.00052355","pagerankL1Norm","0.0005"
"min-NvgraphEx","6","10","0.003","24","0","pagerankL2Norm","0.0005"
"min-NvgraphEx","6","10","0.001","10","0.0027417","pagerankLiNorm","0.0005"
"min-NvgraphEx","6","10","0.002","16","0.000099141","pagerankL1Norm","0.0001"
"min-NvgraphEx","6","10","0.004","28","0.0000010766","pagerankL2Norm","0.0001"
"min-NvgraphEx","6","10","0.001","14","0.00030111","pagerankLiNorm","0.0001"
"min-NvgraphEx","6","10","0.002","17","0.000056561","pagerankL1Norm","0.00005"
"min-NvgraphEx","6","10","0.009","36","0.0000011958","pagerankL2Norm","0.00005"
"min-NvgraphEx","6","10","0.001","15","0.00017298","pagerankLiNorm","0.00005"
"min-NvgraphEx","6","10","0.002","20","0.0000098087","pagerankL1Norm","0.00001"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","0.00001"
"min-NvgraphEx","6","10","0.002","18","0.00003206","pagerankLiNorm","0.00001"
"min-NvgraphEx","6","10","0.002","21","0.000005167","pagerankL1Norm","0.000005"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","0.000005"
"min-NvgraphEx","6","10","0.002","19","0.000017971","pagerankLiNorm","0.000005"
"min-NvgraphEx","6","10","0.003","24","0","pagerankL1Norm","0.000001"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","0.000001"
"min-NvgraphEx","6","10","0.002","22","0.000002481","pagerankLiNorm","0.000001"
"min-NvgraphEx","6","10","0.003","26","8.1956e-7","pagerankL1Norm","5e-7"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","5e-7"
"min-NvgraphEx","6","10","0.002","23","9.4995e-7","pagerankLiNorm","5e-7"
"min-NvgraphEx","6","10","0.003","28","0.0000010766","pagerankL1Norm","1e-7"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","1e-7"
"min-NvgraphEx","6","10","0.003","26","8.1956e-7","pagerankLiNorm","1e-7"
"min-NvgraphEx","6","10","0.003","30","0.0000011586","pagerankL1Norm","5e-8"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","5e-8"
"min-NvgraphEx","6","10","0.003","28","0.0000010766","pagerankLiNorm","5e-8"
"min-NvgraphEx","6","10","0.004","32","0.0000011809","pagerankL1Norm","1e-8"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","1e-8"
"min-NvgraphEx","6","10","0.003","30","0.0000011586","pagerankLiNorm","1e-8"
"min-NvgraphEx","6","10","0.006","34","0.0000011921","pagerankL1Norm","5e-9"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","5e-9"
"min-NvgraphEx","6","10","0.004","33","0.0000011884","pagerankLiNorm","5e-9"
"min-NvgraphEx","6","10","0.004","36","0.0000011958","pagerankL1Norm","1e-9"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","1e-9"
"min-NvgraphEx","6","10","0.004","36","0.0000011958","pagerankLiNorm","1e-9"
"min-NvgraphEx","6","10","0.004","36","0.0000011958","pagerankL1Norm","5e-10"
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","5e-10"
"min-NvgraphEx","6","10","0.004","36","0.0000011958","pagerankLiNorm","5e-10"
"min-NvgraphEx","6","10","0.004","36","0.0000011958","pagerankL1Norm","1e-10"
